Image,Title,Price,Url
"https://dks.scene7.com/is/image/dkscdn/22STAU40ZSTNLYQNCHYDB_Camelia_Gradient_is/?wid=252&hei=252&qlt=85,0&fmt=jpg&op_sharpen=1",Stanley 40 oz. Quencher H2.0 FlowState Tumbler,$45.00,https://www.dickssportinggoods.com/p/stanley-40-ozquencher-h2-0-flowstate-tumbler-22stau40zstnlyqnchydb/22stau40zstnlyqnchydb
"https://dks.scene7.com/is/image/dkscdn/22NIKWSTYLFLCSPNTAPB_Baroque_Brown_is/?wid=252&hei=252&qlt=85,0&fmt=jpg&op_sharpen=1",Nike Sportswear Women's Phoenix Fleece High-Waisted Oversized Sweatpants,$70.00,https://www.dickssportinggoods.com/p/nike-sportswear-womens-phoenix-fleece-high-waisted-oversized-sweatpants-22nikwstylflcspntapb/22nikwstylflcspntapb
"https://dks.scene7.com/is/image/dkscdn/23YETU26ZYTSTRWBTHYD_Canyon_Red_is/?wid=252&hei=252&qlt=85,0&fmt=jpg&op_sharpen=1",YETI 26 oz. Rambler Bottle with Color-Matched Straw Cap,$40.00,https://www.dickssportinggoods.com/p/yeti-26-ozrambler-bottle-with-color-matched-straw-cap-23yetu26zytstrwbthyd/23yetu26zytstrwbthyd
"https://dks.scene7.com/is/image/dkscdn/23FHQWCLFTN9RYBLXFTW_Airy_Blue_is/?wid=252&hei=252&qlt=85,0&fmt=jpg&op_sharpen=1",HOKA Women's Clifton 9 Running Shoes,$144.99,https://www.dickssportinggoods.com/p/hoka-womens-clifton-9-running-shoes-23fhqwclftn9ryblxftw/23fhqwclftn9ryblxftw
"https://dks.scene7.com/is/image/dkscdn/23YETUYTHPPRBCKPCRECA_BLACK_2_is/?wid=252&hei=252&qlt=85,0&fmt=jpg&op_sharpen=1",YETI Hopper M20 Soft Backpack Cooler,$325.00,https://www.dickssportinggoods.com/p/yeti-hopper-m20-soft-backpack-cooler-23yetuythpprbckpcreca/23yetuythpprbckpcreca
"https://dks.scene7.com/is/image/dkscdn/22STAU30ZSTNLYQNCHYDB_Camelia_Gradient_is/?wid=252&hei=252&qlt=85,0&fmt=jpg&op_sharpen=1",Stanley 30 oz. Quencher H2.0 FlowState Tumbler,$35.00,https://www.dickssportinggoods.com/p/stanley-30-ozquencher-h2-0-flowstate-tumbler-22stau30zstnlyqnchydb/22stau30zstnlyqnchydb
"https://dks.scene7.com/is/image/dkscdn/21NWBW327WHTGRYXXFTW_Rust_Sand_is/?wid=252&hei=252&qlt=85,0&fmt=jpg&op_sharpen=1",New Balance Women's 327 Shoes,$99.99,https://www.dickssportinggoods.com/p/new-balance-womens-327-shoes-21nwbw327whtgryxxftw/21nwbw327whtgryxxftw
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAARnQU1BAACxjwv8YQUAAAAJcEhZcwAADsQAAA7EAZUrDhsAAAANSURBVBhXYzh8+PB/AAffA0nNPuCLAAAAAElFTkSuQmCC",New Balance 327 Shoes,$99.99,https://ad-dickssportinggoods-prod.tagdelivery.com/click?id=2a135ef8-4928-4e1d-a94a-2831e55913cd&x=2Mv1Z8DOKjIYdDSTTGQwI3Y75zvY5aaU4yf7IkbQ6lWBTf3Z-rdxiHAykr-SztG1f_GxWWQStQbvGw4qU_k7uh1Bf-o_K4hJiqbKRPNYTLNLUf1-6gSQ92ya590kRuokTGTlFndUZOIyJGLlP0eCnC4I2y_FyHxBcTJdej0skcmhbHMGuMoxNsYbk0iL5pDzeCGZ-LJD3FU6eGoApE0pUm6ZvXYVgB_y9MHnofmKz3qkSlSeEtPIZnJ8oi778qZkoLXtRuRzb7uKSe8bTgTJZ1vjGV1leArUk_07pJUbZ58anyDkF5Q8hcs7g_pXBbrKq_yHmYyWIWMA6QyVBh-p3JOi-zezRTG0iO9eNt3OqWKAUNU2UPEKPnmwV7cUdlytemaEqmEVtsj7SKErDPHs4mioMCNzWWwixx-ZsZMM9iKpjni3H9zleohvLeesug1WjTDaz-KxwRtux6I1f6UctEivFvWuVZ165ML7cSCCe_LJ4yA5YOG2pLEwu0Qvo0HC2Y2zc0hDYmU7ugI4Yr6Xoi-RXi8a-qrCg1IejypzoifIqf3TAI3N2W-wrYTkhv--&redirect=https://www.dickssportinggoods.com/p/new-balance-327-shoes-23nwba327whtxxxxxmns/23nwba327whtxxxxxmns
"https://dks.scene7.com/is/image/dkscdn/22STAU30ZSTNLYCFLHYD_Camelia_is/?wid=252&hei=252&qlt=85,0&fmt=jpg&op_sharpen=1",Stanley 30 Oz. IceFlow Tumbler with Flip Straw,$35.00,https://www.dickssportinggoods.com/p/stanley-30-oziceflow-tumbler-with-flip-straw-22stau30zstnlycflhyd/22stau30zstnlycflhyd
"https://dks.scene7.com/is/image/dkscdn/23NIKUKNSWCLBFLCJAPB_Cacao_Wow_White_is/?wid=252&hei=252&qlt=85,0&fmt=jpg&op_sharpen=1",Nike All Kids Fit Sportswear Club Fleece Joggers,$45.00,https://www.dickssportinggoods.com/p/nike-all-kids-fit-sportswear-club-fleece-joggers-23nikuknswclbflcjapb/23nikuknswclbflcjapb
